รหัสวิชา,ประเภท,รหัสตัวชี้วัด,คำอธิบาย/จุดประสงค์,ประเมิน
พ22103,พื้นฐาน,พ 4.1 ม.2/2,วิเคราะห์ผลของการใช้เทคโนโลยีที่มีต่อสุขภาพ,ระหว่างทาง
พ22103,พื้นฐาน,พ 4.1 ม.2/3,วิเคราะห์ความเจริญก้าวหน้าทางการแพทย์ที่มีผลต่อสุขภาพ,ระหว่างทาง
พ22103,พื้นฐาน,พ 5.1 ม.2/1,ระบุวิธีการ ปัจจัย และแหล่งที่ช่วยเหลือฟื้นฟูผู้ติดสารเสพติด,ระหว่างทาง
พ22103,พื้นฐาน,พ 5.1 ม.2/2,อธิบายวิธีการหลีกเลี่ยงพฤติกรรมเสี่ยงและสถานการณ์เสี่ยง,ระหว่างทาง
พ22103,พื้นฐาน,พ 4.1 ม.2/7,พัฒนาสมรรถภาพทางกายตนเองให้เป็นไปตามเกณฑ์ที่กำหนด,ระหว่างทาง
พ22103,พื้นฐาน,พ 5.1 ม.2/3 ,ใช้ทักษะชีวิตในการป้องกันและหลีกเลี่ยงสถานการณ์คับขันที่อาจนำไปสู่อันตราย,ปลายทาง
ว30204,เพิ่มเติม,1,อธิบายการเกิดเสียง การเคลื่อนที่ของเสียง ความสัมพันธ์ระหว่างคลื่นการกระจัดของอนุภาค กับคลื่นความดัน ความสัมพันธ์ระหว่างอัตราเร็วของเสียงในอากาศที่ขึ้นกับอุณหภูมิในหน่วย องศาเซลเซียส การสะท้อน การหักเห การแทรกสอด การเลี้ยวเบน ของคลื่นเสียง รวมทั้งคำนวณ ปริมาณต่าง ๆ ที่เกี่ยวข้อง,
ว30204,เพิ่มเติม,2,อธิบายความเข้มเสียง ระดับเสียง องค์ประกอบของการได้ยิน คุณภาพเสียง และมลพิษทางเสียง รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง,
ว30204,เพิ่มเติม,3,"ทดลอง และอธิบายการเกิดการสั่นพ้องของอากาศในท่อปลายเปิดหนึ่งด้าน รวมทั้งสังเกตและ
อธิบายการเกิดบิต คลื่นนิ่ง ปรากฏการณ์ตอปเพลอร์ คลื่นกระแทกของเสียง คำนวณปริมาณ ต่าง ๆ ที่เกี่ยวข้อง และนำความรู้เรื่องเสียงไปใช้ในชีวิตประจำวัน",
ว30204,เพิ่มเติม,4,ทดลอง และอธิบายการทำวัตถุที่เป็นกลางทางไฟฟ้าให้มีประจุไฟฟ้าโดยการขัดสีกันและการ เหนี่ยวนำไฟฟ้าสถิต,
ว30204,เพิ่มเติม,5,อธิบาย และคำนวณแรงไฟฟ้าตามกฎของคูลอมบ์,
ว30204,เพิ่มเติม,6,อธิบาย และคำนวณสนามไฟฟ้าและแรงไฟฟ้าที่กระทำกับอนุภาคที่มีประจุไฟฟ้าที่อยู่ในสนาม ไฟฟ้า รวมทั้งหาสนามไฟฟ้าลัพธ์เนื่องจากระบบจุดประจุโดยรวมกันแบบเวกเตอร์,
ว30204,เพิ่มเติม,7,อธิบาย และคำนวณพลังงานศักย์ไฟฟ้า ศักย์ไฟฟ้า และ ความต่างศักย์ระหว่างสองตำแหน่ง ใดๆ,
ว30204,เพิ่มเติม,8,อธิบายส่วนประกอบของตัวเก็บประจุ ความสัมพันธ์ระหว่างประจุไฟฟ้า ความต่างศักย์ และ ความจุของตัวเก็บประจุ และอธิบายพลังงานสะสมในตัวเก็บประจุ และความจุสมมูล รวมทั้ง คำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง,
ว30204,เพิ่มเติม,9,นำความรู้เรื่องไฟฟ้าสถิตไปอธิบายหลักการทำงานของเครื่องใช้ไฟฟ้าบางชนิด และปรากฏการณ์ ในชีวิตประจำวัน,
ว30204,เพิ่มเติม,10,อธิบายการเคลื่อนที่ของอิเล็กตรอนอิสระและกระแสไฟฟ้าในลวดตัวนำ ความสัมพันธ์ระหว่าง กระแสไฟฟ้าในลวดตัวนำกับความเร็วลอยเลื่อนของอิเล็กตรอนอิสระ ความหนาแน่นของ อิเล็กตรอนในลวดตัวนำและพื้นที่หน้าตัดของลวดตัวนำ และคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง,
ว30204,เพิ่มเติม,11,ทดลอง และอธิบายกฎของโอห์ม อธิบายความสัมพันธ์ระหว่างความต้านทานกับความยาว พื้นที่หน้าตัด และสภาพต้านทานของตัวนำโลหะที่อุณหภูมิคงตัว และคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง รวมทั้ง อธิบายและคำนวณความต้านทานสมมูลเมื่อนำตัวต้านทานมาต่อกันแบบ อนุกรมและแบบขนาน,
ว30204,เพิ่มเติม,12,ทดลอง อธิบาย และคำนวณอีเอ็มเอฟของแหล่งกำเนิดไฟฟ้ากระแสตรง รวมทั้งอธิบายและ คำนวณพลังงานไฟฟ้า และกำลังไฟฟ้า,
ว30204,เพิ่มเติม,13,ทดลอง และคำนวณอีเอ็มเอฟสมมูลจากการต่อแบตเตอรี่แบบอนุกรมและแบบขนาน รวมทั้ง คำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องในวงจรไฟฟ้ากระแสตรงซึ่งประกอบด้วยแบตเตอรี่และตัว ต้านทาน,
ว30204,เพิ่มเติม,14,อธิบายการเปลี่ยนพลังงานทดแทนเป็นพลังงานไฟฟ้า รวมทั้งสืบค้นและอภิปรายเกี่ยวกับ เทคโนโลยีที่นำมาแก้ปัญหาหรือตอบสนองความต้องการทางด้านพลังงาน โดยเน้นด้าน ประสิทธิภาพและความคุ้มค่าด้านค่าใช้จ่าย,
ว30206,เพิ่มเติม,1,อธิบายการเกิดและลักษณะเฉพาะของคลื่นแม่เหล็กไฟฟ้า แสงไม่โพลาไรส์ แสงโพลาไรส์เชิงเส้น และแผ่นโพลารอยด์ รวมทั้งอธิบายการนำคลื่นแม่เหล็กไฟฟ้าในช่วงความถี่ต่าง ๆ ไปประยุกต์ใช้และ หลักการทำงานของอุปกรณ์ที่เกี่ยวข้อง,
ว30206,เพิ่มเติม,2,สืบค้นและอธิบายการสื่อสารโดยอาศัยคลื่นแม่เหล็กไฟฟ้าในการส่งผ่านสารสนเทศ และเปรียบเทียบการสื่อสารด้วย สัญญาณแอนะล็อกกับสัญญาณดิจิทัล,
ว30206,เพิ่มเติม,3,อธิบายสมมติฐานของพลังค์ ทฤษฎีอะตอมของโบร์ และการเกิดเส้นสเปกตรัมของอะตอมไฮโดรเจน รวมทั้ง คำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง,
ว30206,เพิ่มเติม,4,อธิบายปรากฏการณ์โฟโตอิเล็กทริกและคำนวณพลังงานโฟตอน พลังงานจลน์ของโฟโตอิเล็กตรอนและ ฟังก์ชันงานของโลหะ,
ว30206,เพิ่มเติม,5,อธิบายทวิภาวะของคลื่นและอนุภาค รวมทั้งอธิบายและคำนวณความยาวคลื่นเดอบรอยส์,
ว30206,เพิ่มเติม,6,อธิบายกัมมันตภาพรังสีและความแตกต่างของรังสีแอลฟา บีตาและแกมมา,
ว30206,เพิ่มเติม,7,อธิบายและคำนวณกัมมันตภาพของนิวเคลียสกัมมันตรังสี รวมทั้งทดลอง อธิบาย และคำนวณจำนวนนิวเคลียส กัมมันตรังสีที่เหลือจากการสลายและครึ่งชีวิต,
ว30206,เพิ่มเติม,8,อธิบายแรงนิวเคลียร์ เสถียรภาพของนิวเคลียส และพลังงานยึดเหนี่ยว รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง,
ว30206,เพิ่มเติม,9,อธิบายปฏิกิริยานิวเคลียร์ ฟิชชัน และฟิวชัน รวมทั้งคำนวณพลังงานนิวเคลียร์,
ว30206,เพิ่มเติม,10,อธิบายประโยชน์ของพลังงานนิวเคลียร์และรังสี รวมทั้งอันตรายและการป้องกันรังสีในด้านต่าง ๆ,
ว30206,เพิ่มเติม,11,อธิบายการค้นคว้าวิจัยด้านฟิสิกส์อนุภาค แบบจำลองมาตรฐาน และการใช้ประโยชน์จากการค้นคว้าวิจัยด้าน ฟิสิกส์อนุภาคในด้านต่าง ๆ,
ส32202,เพิ่มเติม,1,เสนอแนวทางการแก้ปัญหาการขัดกันระหว่างผลประโยชน์ส่วนตนและผลประโยชน์ส่วนรวมที่ส่งผลต่อสังคมและประเทศรู้จักหน้าที่ของตนเองและเคารพสิทธิของผู้อื่น,
ส32202,เพิ่มเติม,2,วิเคราะห์ความสัมพันธ์ระหว่างจริยธรรม คุณธรรม ที่ส่งผลต่อการแก้ไขปัญหาการทุจริต,
ส32202,เพิ่มเติม,3,มีความละอายและความไม่ทนต่อการทุจริตที่เกิดขึ้นและส่งผลกระทบต่อประเทศไทย,
ส32202,เพิ่มเติม,4,นำหลัก STRONG : จิตพอเพียงต้านทุจริตไปใช้ในการแก้ไขปัญหาการทุจริต ในสังคมไทย,
ส32202,เพิ่มเติม,5,ปฏิบัติตนเป็นพลเมืองที่มีความรับผิดชอบต่อสังคมและประเทศไทย,
ส32202,เพิ่มเติม,6,ตระหนักและเห็นความสำคัญของการปฏิบัติตนเป็นผู้มีคุณธรรมจริยธรรมเกี่ยวกับ ความพอเพียง มีวินัย ซื่อสัตย์สุจริตและมีจิตสาธารณะในการป้องกันการทุจริต,
ว32103,พื้นฐาน,ว 3.1 ม.6/2,อธิบายหลักฐานที่สนับสนุนทฤษฎี   บิกแบงจากความสัมพันธ์ระหว่างความเร็วกับระยะทางของกาแล็กซี รวมทั้งข้อมูลการค้นพบไมโครเวฟพื้นหลังจากอวกาศ,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.1 ม.6/3,อธิบายโครงสร้างและองค์ประกอบของกาแล็กซีทางช้างเผือก และระบุตำแหน่งของระบบสุริยะ พร้อมอธิบายเชื่อมโยงกับการสังเกตเห็นทางช้างเผือกของคนบนโลก,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.1 ม.6/4,อธิบายกระบวนการเกิดดาวฤกษ์ โดยแสดงการเปลี่ยนแปลงความดัน อุณหภูมิ ขนาด จากดาวฤกษ์ก่อนเกิดจนเป็นดาวฤกษ์,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.1 ม.6/5,ระบุปัจจัยที่ส่งผลต่อความส่องสว่างของดาวฤกษ์ และอธิบายความสัมพันธ์ระหว่างความส่องสว่างกับโชติมาตรของดาวฤกษ์,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.1 ม.6/6,อธิบายความสัมพันธ์ระหว่างสี อุณหภูมิผิว และสเปกตรัมของดาวฤกษ์,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.1 ม.6/8,อธิบายกระบวนการเกิดระบบสุริยะ และการแบ่งเขตบริวารของดวงอาทิตย์ และลักษณะของดาวเคราะห์ที่เอื้อต่อการดำรงชีวิต,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.2 ม.6/1,อธิบายการแบ่งชั้นและสมบัติโครงสร้างของโลก พร้อมยกตัวอย่างข้อมูลที่สนับสนุน,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.2 ม.6/2,อธิบายหลักฐานทางธรณีวิทยาที่สนับสนุนการเคลื่อนที่ของแผ่นธรณี,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.2 ม.6/3,ระบุสาเหตุ และอธิบายรูปแบบแนวรอยต่อของแผ่นธรณีที่สัมพันธ์กับการเคลื่อนที่ของแผ่นธรณี พร้อมยกตัวอย่างหลักฐานทางธรณีวิทยาที่พบ,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.2 ม.6/7,อธิบายปัจจัยสำคัญที่มีผลต่อการได้รับพลังงานจากดวงอาทิตย์แตกต่างกันในแต่ละบริเวณของโลก,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.2 ม.6/8,อธิบายการหมุนเวียนของอากาศ ที่เป็นผลมาจากความแตกต่างของความกดอากาศ,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.2 ม.6/9,อธิบายทิศทางการเคลื่อนที่ของอากาศ ที่เป็นผลมาจากการหมุนรอบตัวของโลก,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.2 ม.6/10,อธิบายการหมุนเวียนของอากาศตามเขตละติจูด และผลที่มีต่อภูมิอากาศ,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.2 ม.6/11,อธิบายปัจจัยที่ทำให้เกิดการหมุนเวียนของน้ำผิวหน้าในมหาสมุทร และรูปแบบการหมุนเวียนของน้ำผิวหน้าในมหาสมุทร,ระหว่างทาง
ว32103,พื้นฐาน,ว 3.1 ม.6/1,อธิบายการกำเนิดและการเปลี่ยนแปลงพลังงาน สสาร ขนาด อุณหภูมิของเอกภพหลังเกิดบิกแบงในช่วงเวลาต่าง ๆ ตามวิวัฒนาการของเอกภพ,ปลายทาง
ว32103,พื้นฐาน,ว 3.1 ม.6/7,อธิบายลำดับวิวัฒนาการที่สัมพันธ์กับมวลตั้งต้นและวิเคราะห์การเปลี่ยนแปลงสมบัติบางประการของดาวฤกษ์,ปลายทาง
ว32103,พื้นฐาน,ว 3.1 ม.6/9,อธิบายโครงสร้างของดวงอาทิตย์ การเกิดลมสุริยะ พายุสุริยะ และสืบค้นข้อมูล วิเคราะห์ นำเสนอปรากฏการณ์หรือเหตุการณ์ที่เกี่ยวข้องกับผลของลมสุริยะและพายุสุริยะที่มีต่อโลก รวมทั้งประเทศไทย,ปลายทาง
ว32103,พื้นฐาน,ว 3.1 ม.6/10,สืบค้นข้อมูล อธิบายการสำรวจอวกาศ โดยใช้กล้องโทรทรรศน์ในช่วงความยาวคลื่นต่าง ๆ ดาวเทียม ยานอวกาศ สถานีอวกาศและนำเสนอแนวคิดการนำความรู้ทางด้านเทคโนโลยีอวกาศมาประยุกต์ใช้ ในชีวิตประจำวันหรือในอนาคต,ปลายทาง
ว32103,พื้นฐาน,ว 3.2 ม.6/4,อธิบายสาเหตุ กระบวนการเกิดภูเขาไฟระเบิด รวมทั้งสืบค้นข้อมูลพื้นที่เสี่ยงภัย ออกแบบและนำเสนอแนวทางการเฝ้าระวังและการปฏิบัติตนให้ปลอดภัย,ปลายทาง
ว32103,พื้นฐาน,ว 3.2 ม.6/5,อธิบายสาเหตุ กระบวนการเกิด ขนาดและความรุนแรง และผลจากแผ่นดินไหว รวมทั้งสืบค้นข้อมูลพื้นที่เสี่ยงภัย ออกแบบและนำเสนอแนวทางการเฝ้าระวังและการปฏิบัติตนให้ปลอดภัย,ปลายทาง
ว32103,พื้นฐาน,ว 3.2 ม.6/6,อธิบายสาเหตุ กระบวนการเกิด และผลจากสึนามิ รวมทั้งสืบค้นข้อมูลพื้นที่เสี่ยงภัย ออกแบบและนำเสนอแนวทางการเฝ้าระวังและการปฏิบัติตนให้ปลอดภัย,
ว32103,พื้นฐาน,ว 3.2 ม.6/12,อธิบายผลของการหมุนเวียนของอากาศและน้ำผิวหน้าในมหาสมุทรที่มีต่อลักษณะภูมิอากาศ ลมฟ้าอากาศ สิ่งมีชีวิต และสิ่งแวดล้อม,ปลายทาง
ว32103,พื้นฐาน,ว 3.2 ม.6/13,อธิบายปัจจัยที่มีผลต่อการเปลี่ยนแปลงภูมิอากาศของโลก พร้อมทั้งนำเสนอแนวปฏิบัติเพื่อลดกิจกรรมของมนุษย์ ที่ส่งผลต่อการเปลี่ยนแปลงภูมิอากาศโลก,ปลายทาง
